Category,Resume,Class
Sales,"Profit-Driven Marketing Manager
Driving strong and sustainable financial gains through leveraging corporate potential, enhancing topnotch
marketing solutions, innovative branding strategies, and dynamic corporate events.
More than 14 years of solid B2B marketing experience, delivering profitable solutions to drive sales, attract
and maintain customers, and build a solid corporate brand. Special talent for enhancing corporate
marketability through electronic and print marketing tools as well as clear, effective corporate messaging.
Stellar organizational and planning skills, as demonstrated in successful event planning experience. Rolled
out two large-scale corporate re-branding campaigns. Gained extensive experience communicating with
vendors and event support personnel, and effectively managed overseas marketing team. Earned solid
reputation for being enthusiastic, efficient, and hands-on. Active AMA member.
 Strategic Marketing & Sales Event Planning & Execution  Corporate Brand Development
 Internet & E-mail Marketing  Direct Marketing Techniques Business-to-Business (B2B)
 Budgeting & Allocation  Team Building & Leadership  Customer Relationship Management
 Market Research  Public & Media Relations  Vendor & Client Communication
PROFESSIONAL EXPERIENCE
Amex Boxing Club (formerly DEF, Inc. and GHI, Inc.), Bridgetown, GA 2002 – 2009
Initially hired into largely data entry position and upon proving marketing savvy, took over all marketing
responsibilities. Found innovative ways to market ABC brand, including highly successful e-mail marketing
campaigns. Led corporate re-branding after shifting from GHI to DEF, as well as from DEF to ABC. Added
full control of event planning to job in 2008. Maintained constant and open dialogue with health care and
software services groups.
National Events Manager (Health Care Sector), 2008 – 2009
  Spearheaded all planning activities from concept to execution for events with up to $100,000 budgets.
  Handled all event budgeting, ensuring top quality while consistently coming in under budget.
  Directed event logistics including registration and setup, travel, hotels, booths, client receptions, guest
lists, conference accommodations, presentations, and itineraries, both remotely and on-site.
  Led weekly cross-functional team conference calls leading up to each event, solving logistical issues and
coordinating preparation with up to 14 individuals from multiple divisions.
  Established and built successful partnerships with vendors, hotels, event management companies, and
production services companies.
  Maintained in-depth project plans including detailed Excel workbooks with continually updated task
lists, contact lists, deadlines, and budgets.
Marketing Specialist (Software Services Division), 2002 – 2009
  Spearheaded e-mail marketing campaigns, resulting in more than 80% of software services clients coming
in through e-mail marketing channel.
  Orchestrated two successful corporate re-branding campaigns, including coordination of legal name
change and new logo with all vendors and clients, new Web site and marketing materials, internal and
external messaging, and internal communications coaching.

Amex Boxing Club (continued)
  Collaborated with sales team, directors, and India marketing team to issue proposals (RFPs and RFIs).
  Assisted in executing internal and external events, including trade shows, conferences, and parties.
  Created content for corporate Web site, sales presentations, e-mail campaigns and corporate sales
collateral.
“In addition to being highly skilled in her position, she was always a pleasure to work with, as she obviously loves what
she does and always has a positive attitude. She is an enthusiastic team player… but she also can be counted on to work
independently, as was proven most effectively by her take-charge attitude in undertaking the re-branding efforts.”
– Joe Smith, Managing Director, Amex Boxing(Former direct supervisor)
Corporate Marketing Coordinator 2000 – 2001
Def Jam Records
  Handled allocation of $500,000 marketing budget, including advertising, print collateral, trade shows and
seminars, and services from an advertising company and a PR company.
  Led company’s inaugural e-mail marketing initiative, resulting in considerable increase in customer
traffic.
  Organized and executed company representation in trade shows, conferences, and seminars.
  Maintained content for company Web site, print advertisements, and corporate sales collateral.
Additional Related Experience:
Marketing Coordinator, Confidential Company, Inc.,Bridgetown, GA, 1998 – 1999
  Executed direct marketing operations, including monitoring of in-house telemarketers.
Sales Representative, Confidential Company, Inc., Atlanta, GA, 1996 – 1998
  Consistently met and exceeded goals including collaboration with three-person team to reach 115% of
annual sales quota.
Freelance Copywriter/Editor, Atlanta, GA, 1992 – 2002 (intermittent)
  Researched and wrote direct mail pieces, brochures, business letters, Web site content, and edited 400+
page technical textbook.
VOLUNTEER EXPERIENCE
Volunteer, Confidential Nonprofit Organization, Atlanta, GA 2009 – Present
Devoted time to sorting and categorizing textbooks in preparation for shipment to schoolchildren in Africa.
Volunteer, Confidential Nonprofit Organization, Atlanta, GA 2003 – Present
PROFESSIONAL DEVELOPMENT
B.S., Major in Mass Communications, Minor in Marketing (Magna Cum Laude)
University of West Indies, Athens, GA
Member, American Marketing Association (Atlanta Chapter)
TECHNICAL CAPABILITIES
"" IBM-compatible systems "" Windows Professional XP/Vista "" MS Office 2003/2007 ""
"" PhotoShop "" Acrobat "" Siebel CRM "" Constant Contact "" Ektron """,Less Suitable
Sales,"CAREER OBJECTIVE
Sports Marketing Assistant. To work for a major sporting goods company in a marketing position that provides constant
challenges and an opportunity for advancement. Prepared to start from assistant level. Expect to move up to international
operations or local country management position quickly after demonstrating a passion and sound knowledge of sports
marketing. Experience in retail marketing, personal selling, marketing research, promotional campaigns directed for various
reference groups, and sports endorsement contracts.
EDUCATION
Spieghtstown SCHOOL OF ECONOMICS AND BUSINESS ADMINISTRATION, BBA-PROGRAM
Spieghtstown, Jamaica
Bachelor of Business Administration February 19XX, Overall GPA: 3.8, The International BBA-program is designed to
prepare students for the new challanges presented by converging world markets. The level of education is very high, since
the professors teaching in the program come from selected business schools around the world. All courses are taught in
English and in three week intensive modules. This forces students to learn time management, as they are in constant
pressure to meet deadlines on case studies and other projects due on short notice. Another distinctive feature of the
International BBA-program is the required foreign study period that further highlights the importance of cross-cultural
understanding.
Jamaica COMMERCIAL COLLEGE Espoo, Jamaica
Marketing May 1995, Marketing, Major GPA: 4.00, Overall GPA: 4.00
SAINT MARY*S UNIVERSITY Halifax, NS, Australia
Bachelor of Business Administration 19XX-19XX, Marketing, Major GPA: 2.7, Overall GPA: 2.3
AREAS OF INTEREST
! Extensive career in ice hockey. Played for the Finnish Junior National Team. Finnish Junior A Championship 19XX.
Youngest player ever to play AUAA ice hockey in Canada. Played semi-pro hockey for the Helsinki Hockey Club
1993-1995 finishing as the leading goal scorer. Won the play off scoring title while helping the Porvoo Hockey
Team to win the division 3 championship. Retired from hockey to aquire university education.
! Enjoy different kinds of sports. Golf, Tennis, Weight-lifting, Soccer, and Squash.
WORK EXPERIENCE
J & P SPORT OY Espoo, Australia
Sales Representative February 1998Co-
founder of the company. Helped to set up the marketing plan for selling limited edition NIKE merchandise. Calling on
established accounts for orders on special product offerings. Looking for new clients and ways of marketing to smaller
interest groups, such as fitness clubs and companies recreational departments. In a short time became the largest individual
retailer of NIKE merchandise in Australia, when measured in turnover of NIKE products.
NIKE Australia OY Helsinki, Australia
Marketing Assistant September 1997Acquired
the understanding and the knowledge of what NIKE as an organization stands for. Helping with monthly
marketing reports and representing NIKE in various sports and promotional events almed at reaching the general public.
KARl LINNONMAA OY Helsinki, Australia
Sales rep / Warehouse worker January-July 1998
Learned the procedures of operating a sports wholesale business. Declaring shipments from foreign manufacturers through
customs. Receiving orders from customers, shipped and billed merchandise.
LEPPIVAARAN URI{EILU OY Espoo, Australia
Sales clerk Summers 1998 & 1998
Learned the basic operations of day to day sports retailing.
ADDITIONAL SKILLS
Use of WP, WORD, EXCEL, and QUATRO PRO Windows applications. Use of LINDO, SPSS, and Accounting
programs. Have traveled in Europe and know the differences and local features associated with various parts of Europe.
Also familiar with the North-American culture, lived in Canada and U.S. for 3 years when playing hockey Lived at the
SMU campus and one year with other hockey players in an apartment. Used to travelling, living in hotels, and getting along
with different people. Very good team work and social skills, as a result of playing team spirit and BDA schooling.
REFERENCES
MIKA SULIN Sales Manager for NIKE Scandinavia, NIKE, H~meentie 153 B, PL 5, Helsinki, Australia 00561 (90) 757
2688
HENRY FREDRIKSON Manager of Sports Promotion Activities, NIKE, Hlimeentie 153 B, PL 5, Helsinki, Australia
00561, (90) 757 2688
ARI VIUAMAA Sales Manager NIKE Australia. NIKE, Hilmeentie 153 B, PL 5, Helsinki, Australia 00561 (90) 757 2688
DR. HEIKKI URMAS Dean, BBA Program. Helsinki School of Economics and Business Administration Liinnrotinkam 5.
Mikkeli, SF 50100, (955) 20 441
RELEVANT COURSES
Marketing
! Industrial Marketing
! Marketing Management
! International Marketing
! Marketing Research
! Retail Marketing
! Advertising
! Strategic Marketing
! Consumer Behaviour
Other Marketing Related Courses
! Business Communications
! Business Ethics
! Logistics
Negotiating and Bargaining
Introduction to Statistics
Other Business Courses
Financial Accounting 1 & 2
Management Accounting
Managerial Finance
Financial Mathematics
Quantitative Analysis
Capital Budgeting
International Financial Markets
Principles of Management
Strategic Management
Human Resource Management
Organizational Behaviour
Managerial Economics
Macroeconomics
Introduction and Background to The Finnish Economy
Introduction to Computers
Business Germany 1-4",Less Suitable
Health and fitness,"Education Details 
January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University
January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University
January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College
Group Fitness Instructor, India 

Group Fitness Instructor, India - Columbia University
Skill Details 
Company Details 
company - Columbia University
description - Present
Organized high energy weight training, cardiovascular and indoor cycling classes
accommodating participants of varying age-groups, cultural backgrounds and fitness levels to help achieve their fitness goals.
company - Columbia Dental School
description - Provided detailed nutrition counselling and telephonic follow up to dental patients with accompanying metabolic conditions like diabetes, hypertension and obesity.",Less Suitable
Health and fitness,"Personal Skills: Ã¢Â€Â¢ Good verbal and written communication skills Ã¢Â€Â¢ Ability to deal with people diplomatically Ã¢Â€Â¢ Willingness to learn Other Qualifications: Ã¢Â€Â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. Ã¢Â€Â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. Ã¢Â€Â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 months. Ã¢Â€Â¢ Slender Gender: Done diploma in Spa Management, (4 Months)Education Details 

Fitness Trainer cum Team Leader 

Fitness Trainer cum Team Leader - Think Healthy
Skill Details 
Company Details 
company - Think Healthy
description - Job Responsibilities:
Ã¢ÂžÂ¢ Perform related duties and responsibilities as assigned.
Ã¢ÂžÂ¢ Achieve Fitness Goal
Ã¢ÂžÂ¢ Training people to do work outs in Gym. Handling customer s queries related therapies, Refreshers, etc
company - Raymond Gym
description - Job Responsibilities:
Ã¢ÂžÂ¢ Perform related duties and responsibilities as assigned.
Ã¢ÂžÂ¢ Handling customers  queries related therapies
company - AROMA THAI FOOT SPA
description - Perform related duties and responsibilities as assigned.
Ã¢ÂžÂ¢ Handling customers  queries related therapies, Refreshers, etc
Ã¢ÂžÂ¢ Handled queries on phone as well as personally.
Ã¢ÂžÂ¢ Taking care of payment Invoices.
company - GLOBAL 1 GYM
description - Job Responsibilities:
Ã¢ÂžÂ¢ Perform related duties and responsibilities as assigned.
Ã¢ÂžÂ¢ Handling a team, entire floor section
Ã¢ÂžÂ¢ Achieve Fitness Goal
Ã¢ÂžÂ¢ Training People to do work outs in Gym
company - RUDRAAKSH HEALTH CARE & SPA
description - Job Responsibilities:
Ã¢ÂžÂ¢ Perform related duties and responsibilities as assigned.
Ã¢ÂžÂ¢ Handling a team, entire floor section.
Ã¢ÂžÂ¢ Achieve Fitness Goal.
Ã¢ÂžÂ¢ Training people to do work outs in Gym. Handling customer s queries related therapies, Refreshers, etc
Ã¢ÂžÂ¢ Handled queries on phone as well as personally.
Ã¢ÂžÂ¢ Taking care of payment Invoices.
company - PLAZA GYM
description - 
company - HOTEL Windsor
description - 
company - HOTEL HOLIDAY INN, Juhu
description - Done Promotion: For Aromathai Foot Spa. 6 days (World Trade Centre, Bombay Exhibition Centre, Also done promotion at Bandra Kurla Complex, Bandra GYM Khana ( Promoted various products: Spa, Health and Fitness Product, Garments, Imitation Jewellery, Food & Beverage etc)",Less Suitable
Health and fitness,"SKILLS: Computer: Ã¢Â€Â¢ Can easily operate in Operating System like Windows 10. Ã¢Â€Â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). Ã¢Â€Â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details 
January 2010 Advance Diploma in Hotel Management   J&W Institute of Hotel Management
Gym management & Consultant 

Gym management & Consultant - Sculpt Fitness Centre
Skill Details 
Excel- experience - 96 months
PowerPoint- experience - 96 months
Word- experience - 96 months
Gym Management Software- experience - 96 months Company Details 
company - Sculpt Fitness Centre
description - 2015 - Present	Sales, Fitness, Operations
company - AB's Fitness Club
description - Fitness, Sales, Administration, Facility & House-keeping
company - AB's Fitness Club
description - Sales, Fitness, Operations
company - Ultimate Fitness Club
description - 
company - Tripod Fitness Arena
description - Sales, Administration
company - C K Fitness
description - Sales & Fitness Staff Recruitment

KEY ROLES:
Ã¢Â€Â¢ Designing and promoting activities to meet customer demand and generate revenue;
Ã¢Â€Â¢ Advertising and promoting the club or Centre to increase usage, considering market research;
Ã¢Â€Â¢ Recruiting, training and supervising staff, including managing staff rotas;
Ã¢Â€Â¢ Taking Daily/weekly/monthly reporting from Fitness Manager, Sales Team Lead And Housekeeping Head;
Ã¢Â€Â¢ Carrying out health and safety checks on the equipment and site;
Ã¢Â€Â¢ Retaining existing members by providing good quality of service and by providing good sales programs;
Ã¢Â€Â¢ Prioritizing target activities and user groups (especially in local authority Centres);
Ã¢Â€Â¢ Customer Relationship;
Ã¢Â€Â¢ Providing training to the sales staff to Deal with enquiries, complaints and emergencies
Ã¢Â€Â¢ Delivering some fitness training or coaching in sports activities - often a good way of maintaining contact with customers;
Ã¢Â€Â¢ Preparing and checking budgets and generating revenue;
Ã¢Â€Â¢ Cashing-up and keeping stock records of supplements;
Ã¢Â€Â¢ Utilizing Group-X studio by scheduling exciting grouper's batches;
Ã¢Â€Â¢ Writing monthly or weekly reports and preparing cash projections for Centre owners;
Ã¢Â€Â¢ Enhancing profitability by organizing and delivering an appropriate range of fitness activities/programs;
Ã¢Â€Â¢ Keeping statistical and financial records;
Ã¢Â€Â¢ Keeping check on the Maintenance of fitness equipment & other facilities;
Ã¢Â€Â¢ Ensuring compliance with health and safety legislation;
Ã¢Â€Â¢ Maintaining customer service, Fitness & Hospitality standards;
Ã¢Â€Â¢ Planning;
Ã¢Â€Â¢ Undertaking administrative tasks;
Ã¢Â€Â¢ Promoting and marketing the business;
company - Endurance Fitness Club
description - Fitness, Sales, Administration, Facility & House-keeping",Less Suitable
Health and fitness,"Education Details 
January 2009 P.G. Sports science  Dr. BMN College of Home Science
January 2008 BSc Food Science & Nutrition  Dr. BMN College of Home Science
January 2004 HSC   Central Railway's Jr. college of Science and Commerce
January 2002 SSC HISTORY  IES's Modern English School
 MSc Nutrition  College of Home Science
nutritionist and health promoter 

9yrs experience as a nutritionist and health coach
Skill Details 
Company Details 
company - UGC NET
description - CAREER OBJECTIVE- To use my qualifications as a nutritionist and health promoter to contribute to the well being of individuals in the community.
UGC NET Certificate for Lectureship MAR- 2013

SKILLS LEARNT
Ã¢Â€Â¢ Working in a team environment.
Ã¢Â€Â¢ Working as an individual.
Ã¢Â€Â¢ Time management to ensure all customers are served sufficiently and all tasks are completed to a high standard.
Ã¢Â€Â¢ Working under pressure and in a busy environment
Ã¢Â€Â¢ Personal presentation
Communication Skills
Ã¢Â€Â¢ 9 years of work experience at healthcare startups, health clubs has enhanced my communication skills through discussions with health & fitness professionals & clients, writing articles and designing customized diet plans.
Ã¢Â€Â¢ Confident in communicating with people on all levels and ensuring their needs are met.
Leadership skills
Ã¢Â€Â¢ Leadership skills were developed in high school & college as a group leader where team work was essential, also conflict resolution skills were developed.
Oral Skills
Ã¢Â€Â¢ Volunteering activities, leadership roles and university requirements involved many public speaking opportunities.
Ã¢Â€Â¢ Communicating with the general public, asking them questions, and giving presentations has helped to further develop public speaking skills.
Ã¢Â€Â¢ Comfortable with public speaking roles.",Less Suitable
Health and fitness,"Education Details 
May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University
June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience
Health and wellness coach 

Advance PG diploma in Clinical research, Clinical data management and SAS
Skill Details 
Company Details 
company - GOQii Technologies Ltd
description - Ã¢Â€Â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance health, nutrition and karma
Ã¢Â€Â¢ Track and analyse player's lifestyle and fitness data captured through the GOQii band.
Ã¢Â€Â¢ Design custom wellness/fitness goals mutually with players and coach them in meeting these goals.
Ã¢Â€Â¢ Interact with GOQii Players on a daily basis via GOQii App text/audio.
company - 
description - VIA Health Marketing & Innovations

Ã¢Â€Â¢ Viamedia health had jointly organized a National Campaign of Maternal Nutrition Evaluation with GlaxoSmithKline-Consumer Healthcare.
Ã¢Â€Â¢ Conduct Maternal Nutritional Counselling Camps with practicing Gynaecologists at different hospitals/clinics allotted by the medical representative.
Ã¢Â€Â¢ Conveying the Importance of every nutrient required during this time and foods that contain this type of nutrients.
Ã¢Â€Â¢ Coordinating with the Area Branch Manager and in turn reporting to the ViaMedia Manager with the daily reports.
company - LifeKonnect Department
description - United Health Care India Pvt. Ltd

Ã¢Â€Â¢ LifeKonnect business offers Health Checkups across 800 Cities & 3000 Diagnostic Centres and leaders in this business and also looks into the Operations & organising & supervising medicals for customers of different Insurance companies whose medical come under the rule & regulation of IRDA ( MNYL Iinsurance, BAXA life Insurance, METLIFE insurance, Canara HSBC insurance.
Ã¢Â€Â¢ To proactively monitor the deferrals and ensure that they are done within the stipulated time line.
Ã¢Â€Â¢ Ensuring a high level of professionalism through pro-active Customer relationship management by resolving their queries and complaints in a fair manner within the specified time.
Ã¢Â€Â¢ Co-ordinating with the Lifekonnect members from different centres and in turn reporting to the Team leader.
company - VLCC HealthCare Ltd
description - Counselling to individuals on nutrition status, providing diet instructions to clients and impact on eating & nutrition. Create and present in-services to the clients.
Ã¢Â€Â¢ Handling enquiries from Customers / Distributors through emails, letters, telephone etc.
Ã¢Â€Â¢ Preparing Payment Bills for the customers.
Ã¢Â€Â¢ Assisting the Slimming Manager in conference calls to discuss Nutritional care plans, and Nutrition education.
Ã¢Â€Â¢ Co-ordinating with the sales members and in turn reporting to the Sales Manager.",Less Suitable
Civil Engineer,"Education Details 
 B.E in Civil Engineering Civil Engineering Chennai, Tamil Nadu Anna University
QA/QC Civil Engineer 

QA/QC Civil Engineer
Skill Details 
Company Details 
company - Ray Engineering Limited
description - Mumbai, India.
Consultancy: Jacobs Engineering India Limits. (United States Company)
Client: Glaxo Smith Kline (GSK), Nashik, India.
Position: QA/QC Civil Engineer.

Project Summary:
Glaxo Smith Kline (GSK) is British multinational pharmaceutical Company in India. USD 150 million Building project of GSK.
The Project involving in Medicine Manufacturing plant, Effluent Treatment plant
(ETP), Effluent Drain line and storm water line.

Duties & Responsibilities:

Ã¢Â€Â¢	All site inspection shall be carried out vise an official Inspection and Test Request
(ITR) submitted by the Contractor through the proper channels
Ã¢Â€Â¢	Develop method statement for the activity including risk assessment and job safety
environmental analysis and Inspection Test Plan and Checklist based on specifications of the project
Ã¢Â€Â¢	Taking care of QA/QC documents of the entire project including certificates,
calibration, test results, inspection requests, non-compliance reports and site
instruction/observations, permanent materials delivered and other QA/QC
documents.
Ã¢Â€Â¢	Supervision, checking and assuring that the construction is as per the final issued for construction drawings and project specifications.
Ã¢Â€Â¢	Conducting joint inspection with consultant and client.
Ã¢Â€Â¢	Monitor and control the status of punch list and exception lists relevant to quality
dossiers.

3|Page
Career Progression: March 2016 to Still on going

Company name: Gulf Asia Contracting Co LLC Dubai, UAE
Consultancy: Chawla Architectural & Consulting Engineers
Client: Geepas International ltd, UAE
Project Name: 2B + G+ 19 + Roof Building
Position: QA/QC Civil Engineer.

Project Summary:
Geepas Tower, an upcoming development in the UAE, entered the Guinness World
Records along with the project contractor Gulf Asia Contracting (GAC) - the construction
arm of the multi-billion-dollar business conglomerate RP Group - for completing the largest
continuous concrete pour (of 19,793 cu m for 42 hours) in the world.

The Dh600-million ($163 million) mid-rise residential tower, which will come up in Al Barsha, Dubai, is owned by Western International Group (Geepas)

Duties & Responsibilities:

Ã¢Â€Â¢   Organize, implement, conduct and manage the QA/QC Programs as per the Company's Quality Policy.
Ã¢Â€Â¢   Coordinate the document controls of technical submittals, drawings, etc with the Project Team and to ensure that the QA/QC validation has been done, to ensure their
issue, amendments and recall of controlled documents.
Ã¢Â€Â¢   Coordinate all inspections, monitor the required tests and record inspections and tests made pas the Contract Plan and Contract Specifications.
Ã¢Â€Â¢   Liaise with the Client's representatives for the conduct of day-to-day quality related
project activities.
Ã¢Â€Â¢   Coordinate with the Project Manager regarding work performance and hold authority
to stop work in any area where discrepancies remain uncorrected and/or cancel the stop work order upon satisfactory correction of noted deficiencies.
Ã¢Â€Â¢   Provide technical support to the Project Manager and guidance to site staff in submission of materials for approval, request for inspection, shop drawings, As-built
drawings, O & M manual.
Ã¢Â€Â¢   Assist QA/QC Manager in conducting internal quality audits.
Ã¢Â€Â¢   Ensure that Non-Conformance Report (NCR) are raised once the activities deviated
from the Contract Specifications or normal construction industry practices.

4|Page
Ã¢Â€Â¢   Coordinate with the project staff to compile and maintain pertinent records of inspection and testing until end of the contract and all pertinent records for retention
on completion of the project.
Ã¢Â€Â¢   Attend Monthly Project Review Meetings (PRM) and alert the project team of any
potential problems.
company - Ray Engineering Limited
description - Mumbai, India.
Consultancy: Toyo Engineering India Limits. (Japan Company)
Client: Petronet LNG Limits, Dahej, Gujarat, India.
Position: QA/QC - Civil Engineer.

Project Summary:
Petronet LNG (Liquefied Natural Gas) ltd, India's biggest gas's importer Plant to hike its Dahej importer terminal capacity to 17.5 million tons.
Petronet LNG ltd has set up its first LNG terminal at India with the Capacity of
10 million metric tons per year.
A USD 400 million Petronet project for the Indian Govt. The Project Involving in Air heater, Pipe rack, Substation, Pump House and Control room.

Duties & Responsibilities:
Ã¢Â€Â¢   Taking care of QA/QC documents of the entire project including certificates,
calibration, test results, inspection requests, non-compliance reports and site
instruction/observations, permanent materials delivered and other QA/QC
documents. Responsible for closure of Non-conformance, and Site Instruction.
Ã¢Â€Â¢   Management System Maintain standards of safety and comply with Company's
Health, Safety and Environment requirements.

2|Page
Ã¢Â€Â¢	Perform all daily inspection and test of the scope and character necessary to achieve the quality of construction required in the drawings and specifications for all
works under the contract performed ON or OFF site.
Ã¢Â€Â¢	Cary out inspection and checking for all quality related procedures in the site and ensures activity at site are as per approved method statement and inspection test
plan.
Ã¢Â€Â¢	Coordinate with the consultant's representative and Site In-charge for inspection
and meeting about quality problems including closure of Non-Compliance Report.
company - High View Builders. Kerala. India
description - Project Name: G + 8 Floor Building

High View Builders has been playing a major role in implementing new lifestyle in Kerala. From its inception, High View Builders strictly follows the aspects like on-time delivery,
quality and trust that turned out of the brand of construction. The project involved in construction of villas and G + 8 Floor flats.

1|Page
Duties & Responsibilities:

Ã¢Â€Â¢   To ensure understanding and application of all responsibilities with regard to company's
environment, Health, Safety, Security and quality standard.
Ã¢Â€Â¢   Ensuring the required materials and PPE's are available to carry out the job smoothly
and safely in advance.
Ã¢Â€Â¢   To be proactively involved in supporting the project engineer throughout the duration of project.
Ã¢Â€Â¢   To maintain an accurately detailed daily site reports for the site conditions, progress
and resources available to undertake the activities throughout each phase of the project.
Ã¢Â€Â¢   Coordinating with sub-contractors and suppliers at site.
Ã¢Â€Â¢   Co-coordinating with employees for the timely completion of the work at site.
Ã¢Â€Â¢   Deploying the workers at the site as per the schedule and maintain the labor cards.
Ã¢Â€Â¢   Conduct weekly meeting with the project engineer to discuss the work progress.",Less Suitable
Civil Engineer,"Education Details 
January 2005 S.S.C  Baramati, Maharashtra M.E.S. Highschool
 B.E. Civil Engineering Pune, Maharashtra Singhad Institute Of Technology And Science
civil site engineer 

Civil engineer
Skill Details 
Site Engineer- experience - 60 months Company Details 
company - Vasundhara nirmiti properties
description - Civil engineer
company - shri balaji housing company
description - Execution of all civil work
company - Ganesh construction
description - Site engineer",Less Suitable
Civil Engineer,"SKILLS Ã¢Â€Â¢ 1.Autocad Ã¢Â€Â¢ 2.Pro v Ã¢Â€Â¢ 3.Catia Ã¢Â€Â¢ 4.word, excel Ã¢Â€Â¢ 5.Photoshop INDUSTRIAL EXPOSURE Industrial Visit at: Ã¢Â€Â¢ Larsen & Tubro (L & T)-3 months industrial training Inplant Training at: Ã¢Â€Â¢ Ashoka Buildcon-Training for infrastructure setup and maintenance.Education Details 
January 2017 Masters in structure  Nashik, Maharashtra Universal University Nashik
Civil Engineer 

Civil Engineer
Skill Details 
Autocad- experience - 1 months
Catia- experience - 6 months
maintenance- experience - 48 months
photoshop- experience - 1 months
training- experience - 6 months Company Details 
company - Color Sky Decor LLC Dubai
description - Role: Civil Engineer
company - Girija Construction And Devolopers
description - Role: Civil Engineer
company - Showrooms, Villa's, Hotels
description - Ã¢Â€Â¢ 1.Exterior and Interior Of buildings, villa's etc.
Ã¢Â€Â¢ 2.Construction of new building and villa's.
Ã¢Â€Â¢ 3.Preparing bill of quantities, scheduling etc.
company - Showrooms, Villa's, Hotels
description - Maintenance and Interior outfit works of apartments, Showrooms, Villa's, Hotels etc.
Description: 1 Analyze photographs, drawings and maps to inform the direction of projects as well as the overall budget constraints

2 Ensure project feasibility through continual evaluation of structural integrity and design
practicality

3 Create schedule for project completion

3 Perform and adjust quantity calculations for practical and budgetary purposes

4 Communicate with team members as well as customers and vendors to ensure
maximum cohesion and fluidity on projects

5 Forecast design and construction time frames

6 Inspect project sites to ensure they meet relevant codes and are progressing properly
company - Sonia Buildcon
description - Role: Civil Engineer
company - 
description - 8.day-to-day management of the site, including supervising and monitoring the site labour
force and the work of any subcontractors
Duration: 2015-2016
Role: Civil Engineer
Ã¢Â€Â¢ Construction, renovation, interior designing of buildings, malls, commercial complex, Villas etc.
Description: 1 Undertaking technical and feasibility studies including site investigations

2 Using a range of computer software for developing detailed designs

3 Undertaking complex calculations

4 Liaising with clients and a variety of professionals including architects and subcontractors

5 Compiling job specs and supervising tendering procedures

6 Resolving design and development problems

7 Managing budgets and project resources

8 Scheduling material and equipment purchases and deliveries

9 Making sure the project complies with legal requirements, especially health and safety

10 Assessing the sustainability and environmental impact of projects

11 Ensuring projects run smoothly and structures are completed within budget and on time
company - Grandeurs Realetors India
description - Role: Civil Site Engineer
company - 
description - Description: <Responsibility>
1.Evaluated overall cost of materails, labours, subcontractors and tools.

2.Regulated subcontractor work schedule and equipement delivery.

3.Provided required documents for owners and subcontractors.

4.Cheack regular basis project progrees and devolopment.

5.act as the main technical adviser on a construction site for subcontractors,
craftspeople and operatives.

6.ensure that all materials used and work performed are in accordance with the specifications.

7.liaise with any consultants, subcontractors, supervisors, planners, quantity surveyors
and the general workforce involved in the project.</Responsibility>",Less Suitable
